"switch","arsenic","dist","assoc","educ"
1,2.36,16.826000213623,0,0
1,0.71,47.3219985961914,0,0
0,2.07,20.9669990539551,0,10
1,1.15,21.4860000610352,0,12
1,1.1,40.8740005493164,1,14
1,3.9,69.5179977416992,1,9
1,2.97,80.7109985351563,1,4
1,3.24,55.1459999084473,0,10
1,3.28,52.6469993591309,1,0
1,2.52,75.0719985961914,1,0
1,3.13,29.7740001678467,1,5
1,3.04,34.5040016174316,0,0
1,2.91,63.8040008544922,1,0
1,3.21,73.6039962768555,1,0
1,1.7,67.6549987792969,1,0
1,1.8,80.6600036621094,1,7
1,1.44,52.181999206543,0,7
1,1.43,52.181999206543,1,7
1,2.33,50.5340003967285,1,0
1,2.83,31.4220008850098,0,10
1,1.79,33.0089988708496,1,7
1,2.54,37.8709983825684,0,0
1,2.25,48.3730010986328,1,5
1,2.42,47.3089981079102,0,0
1,1.62,67.7850036621094,0,8
1,2.34,81.1380004882813,1,8
1,3.49,95.4599990844727,0,10
1,2.13,114.417999267578,0,16
1,0.93,157.628997802734,1,10
1,3.36,151.919998168945,1,10
1,1.49,107.69100189209,0,10
1,0.83,105.667999267578,0,10
1,1.37,105.625999450684,1,0
0,2.8,107.69100189209,0,0
0,0.81,107.69100189209,0,0
1,1.48,125.317001342773,1,3
0,1.92,107.69100189209,1,0
1,2.74,107.69100189209,0,10
1,2.49,107.69100189209,1,0
0,3.95,107.69100189209,0,0
1,2.75,107.69100189209,0,0
1,2.91,54.5699996948242,0,0
1,0.83,54.5699996948242,0,0
1,3.67,54.5699996948242,1,5
1,2.9,54.5699996948242,0,0
1,0.78,54.5699996948242,1,10
0,2.52,3.61800003051758,1,5
1,2.48,58.1669998168945,0,0
1,4.47,72.3460006713867,0,8
1,1.52,40.318000793457,0,0
1,1.8,67.2190017700195,0,0
0,0.51,99.0130004882813,0,0
1,0.64,115.91300201416,1,0
1,1.01,71.7990036010742,1,5
1,0.74,141.535995483398,0,8
1,1.81,84.6460037231445,1,0
1,2.69,65.931999206543,0,0
1,4.85,67.9400024414063,1,0
1,3.18,64.697998046875,0,6
1,5.06,62.6349983215332,1,10
1,2.69,47.9090003967285,0,10
1,0.57,24.0030002593994,0,12
1,4.55,17.9820003509521,0,7
0,3.91,11.1470003128052,1,6
1,0.89,39.9770011901855,1,5
0,1,69.1309967041016,0,0
1,0.95,37.6529998779297,1,0
1,3.55,32.0709991455078,1,7
1,4.52,19.0839996337891,0,5
1,4.76,23.9120006561279,0,0
1,1.99,28.5599994659424,1,5
0,2.85,21.9650001525879,0,0
0,0.81,91.0070037841797,0,0
1,2.85,26.5130004882813,1,8
1,2.18,23.3239994049072,0,3
1,4.23,31.5919990539551,0,5
1,1.92,31.3239994049072,1,0
1,1.63,38.8489990234375,0,8
1,5.45,9.12600040435791,1,0
0,1.57,19.3819999694824,0,8
1,1.94,12.4610004425049,0,8
1,1.58,14.9370002746582,0,0
1,0.67,13.2189998626709,1,5
1,1.4,6.82999992370605,0,5
0,1.18,30.4060001373291,1,3
0,0.77,18.5510005950928,1,5
0,0.77,24.8290004730225,0,0
1,1.44,28.6709995269775,0,12
0,0.77,20.871000289917,1,5
1,0.77,20.1200008392334,1,0
0,0.73,13.4940004348755,1,5
1,1.9,19.1919994354248,0,0
0,0.72,28.6459999084473,0,8
0,0.88,16.1660003662109,0,0
0,1.04,27.42799949646,0,5
0,1.21,15.83899974823,1,0
1,1.44,14.4180002212524,1,5
0,0.64,29.2779998779297,1,14
0,0.8,43.9440002441406,1,14
1,1.93,20.2299995422363,0,0
0,0.56,50.0919990539551,0,5
0,1.32,66.879997253418,0,5
0,0.52,69.4820022583008,0,3
0,1.19,48.7080001831055,1,5
0,1.18,22.6359996795654,1,12
0,1.26,10.1230001449585,0,5
0,0.88,42.8279991149902,0,8
0,3.16,21.0890007019043,0,5
0,2.12,47.5340003967285,0,5
1,0.76,15.7119998931885,0,5
0,0.56,12.1850004196167,0,5
0,0.62,23.5590000152588,0,0
1,1.03,1.84800004959106,0,5
0,0.78,90.9209976196289,0,5
0,1.02,93.8280029296875,1,5
0,0.65,82.1060028076172,1,9
1,2.29,46.9560012817383,1,3
1,1.6,24.2099990844727,1,4
1,0.82,43.2900009155273,0,5
1,1.44,25.1469993591309,0,10
1,0.97,14.6040000915527,0,0
0,0.89,1.40100002288818,0,8
1,1.39,8.21000003814697,0,12
1,0.83,18.8680000305176,0,0
1,0.57,23.4009990692139,0,0
1,1.47,18.5319995880127,1,9
1,1.11,36.2869987487793,0,10
1,2.38,40.4980010986328,0,12
0,3.97,90.5709991455078,0,0
1,3.51,115.157997131348,1,3
0,3.69,112.762001037598,1,0
1,2.95,93.4309997558594,1,0
0,3.21,97.2170028686523,0,0
1,3.65,88.3450012207031,1,0
1,4.42,41.1040000915527,1,5
1,4.12,46.2400016784668,0,3
1,3.62,65.3539962768555,1,3
1,3.8,43.7350006103516,1,2
1,4.46,61.5709991455078,0,5
1,4.04,78.4150009155273,1,0
1,3.32,63.5019989013672,0,5
0,2.07,69.2689971923828,1,5
1,1.43,57.9290008544922,1,6
1,2.3,85.3870010375977,0,5
1,1.41,110.609001159668,0,5
1,2.34,111.48999786377,1,0
1,1.5,176.197006225586,0,0
0,1.44,172.108001708984,0,0
0,1.54,177.802993774414,0,0
1,1.35,22.6709995269775,1,0
1,0.54,27.8810005187988,1,5
1,1.17,19.2600002288818,0,8
0,1.02,24.5,0,0
1,1.11,6.63299989700317,0,5
0,0.52,7.04099988937378,0,10
0,0.56,30.3139991760254,1,8
1,0.61,21.9790000915527,1,0
1,2.17,10.4580001831055,1,5
0,0.61,74.9990005493164,0,5
1,0.96,81.9710006713867,1,3
1,0.94,92.1760025024414,1,5
1,0.93,106.608001708984,1,3
0,1.02,103.060997009277,1,4
0,1.24,86.6050033569336,0,0
0,1.42,110.561996459961,0,5
0,1.31,122.325996398926,0,5
0,0.83,122.018997192383,0,0
0,2.64,57.632999420166,1,2
0,1.84,39.5960006713867,0,5
0,2.48,39.515998840332,0,0
0,1.27,21.5550003051758,0,10
0,0.69,51.7480010986328,0,0
1,0.61,13.5209999084473,1,5
0,0.89,31.4540004730225,0,5
1,0.75,89.4309997558594,0,5
0,0.81,19.2639999389648,1,0
0,1.81,53.3629989624023,1,9
0,1.25,30.128999710083,1,0
1,1.12,27.136999130249,1,9
1,0.71,28.7119998931885,1,0
1,2.16,20.6399993896484,1,0
1,1.7,36.75,0,5
1,1.84,49.6800003051758,0,5
0,1.26,102.710998535156,1,0
0,2.53,108.615997314453,1,0
0,2.95,96.4359970092773,0,0
0,0.62,100.861000061035,0,0
1,3.01,137.899993896484,0,10
0,2.56,124.670997619629,1,5
1,1.97,151.065994262695,0,10
0,1.2,121.575996398926,1,5
0,0.89,32.8499984741211,0,0
0,0.52,8.54699993133545,0,10
1,2.49,27.9740009307861,0,4
1,1.25,29.4580001831055,0,0
0,1.13,19.6599998474121,1,5
1,1.13,47.7089996337891,0,12
1,0.52,71.5230026245117,0,10
1,0.88,67.1760025024414,1,10
0,3.48,69.9670028686523,0,5
0,0.56,83.5719985961914,0,10
0,1.35,71.4250030517578,0,5
1,1.67,71.4250030517578,0,0
0,1.92,71.4250030517578,0,10
0,2.41,190.287994384766,0,7
0,2.36,186.304992675781,0,5
0,2.41,218.300003051758,0,0
1,1.46,53.5439987182617,0,14
1,2,63.6020011901855,0,0
1,1.32,67.4929962158203,0,5
1,1.75,66.7360000610352,0,5
1,1.84,47.9959983825684,0,0
0,1.72,54.4160003662109,0,5
0,1.77,94.722999572754,0,5
1,2.77,70.7740020751953,0,7
1,0.73,11.2489995956421,1,0
1,0.69,4.88000011444092,1,0
0,0.58,18.1429996490479,1,5
1,0.52,15.7790002822876,1,12
1,0.62,0.386999994516373,1,5
1,3.33,14.9650001525879,1,5
0,0.51,24.6770000457764,0,0
0,1.26,17.5069999694824,1,0
1,0.6,22.8819999694824,0,5
1,0.59,6.7960000038147,0,5
1,0.66,8.996000289917,1,0
1,0.74,2.40899991989136,1,0
1,0.71,9.30599975585938,1,0
1,0.86,21.996000289917,1,7
0,0.51,14.0769996643066,0,10
1,0.58,29.6490001678467,1,5
0,0.55,11.3769998550415,0,5
1,1.26,29.5410003662109,0,0
0,0.52,33.367000579834,0,10
0,0.83,26.7150001525879,0,10
0,0.57,21.1180000305176,0,5
0,0.53,71.4820022583008,0,0
0,0.67,71.6370010375977,1,0
1,3.5,23.8309993743896,0,5
1,2.8,5.72800016403198,1,12
1,0.77,15.8149995803833,1,5
1,0.74,32.5870018005371,1,5
1,0.77,40.1310005187988,0,10
1,1.58,49.6380004882813,1,2
1,0.8,24.886999130249,0,10
0,0.55,47.6710014343262,1,0
1,0.9,56.5909996032715,1,10
0,0.52,74.1169967651367,0,8
1,2.59,81.8489990234375,1,0
1,1.27,86.0940017700195,1,8
0,0.97,71.8059997558594,0,14
0,1.47,61.7449989318848,1,4
0,1.03,25.0450000762939,0,12
0,0.93,19.9290008544922,1,2
0,0.79,50.1189994812012,0,10
0,0.66,53.8160018920898,1,5
0,0.85,33.5029983520508,1,10
0,0.93,58.3559989929199,0,5
0,1.42,17.9540004730225,0,12
0,0.75,28.0270004272461,0,4
0,1.46,31.6679992675781,0,8
0,1.16,34.4370002746582,0,5
0,1.17,50.9519996643066,0,15
1,0.83,60.7529983520508,1,0
1,1.24,74.8769989013672,0,5
1,3.08,57.9599990844727,0,5
1,3.59,61.6240005493164,0,0
1,1.96,76.0660018920898,0,7
1,1.67,105.866996765137,0,5
0,1.69,112.675003051758,0,0
0,2.71,197.134994506836,1,5
0,1.27,304.096984863281,1,5
0,1.43,339.531005859375,0,4
0,1,70.2710037231445,0,5
0,0.52,92.7440032958984,0,5
0,0.65,55.9210014343262,0,9
0,0.7,50.8289985656738,1,0
0,0.51,37.601001739502,0,0
0,1.02,17.9309997558594,0,0
1,2.05,11.8170003890991,0,5
1,0.77,18.7970008850098,1,0
1,1.2,17.5750007629395,0,5
1,0.62,22.443000793457,0,5
1,1.31,27.0259990692139,1,5
1,1.79,17.1399993896484,0,0
1,0.56,25.4540004730225,0,0
1,0.77,45.576000213623,0,5
1,0.66,52.7610015869141,0,0
1,1.1,30.5410003662109,0,0
1,0.82,16.3990001678467,1,5
1,2.22,29.3190002441406,0,5
1,2.82,36.0610008239746,1,0
0,0.64,22.6070003509521,0,6
1,1.26,27.1410007476807,1,6
1,1.53,9.44699954986572,1,5
1,1.8,16.69700050354,0,0
1,1.24,50.4770011901855,1,8
0,0.93,9.22399997711182,0,5
1,0.54,6.93100023269653,1,6
1,0.82,27.2919998168945,0,5
1,0.61,25.2950000762939,0,5
0,0.71,52.7120018005371,1,5
1,0.81,51.7290000915527,0,4
1,0.65,68.5719985961914,1,4
1,0.68,23.6790008544922,1,0
1,1.26,45.2019996643066,1,9
1,0.92,9.16899967193604,0,5
1,1.25,16.371000289917,1,0
1,1.16,19.4169998168945,0,5
1,0.76,57.7929992675781,1,5
1,1.2,43.2719993591309,0,10
0,0.9,19.8400001525879,0,9
1,0.52,5.17999982833862,0,5
1,0.53,42.685001373291,0,8
0,0.64,5.16200017929077,1,8
1,1.96,38.9640007019043,1,10
1,0.59,58.0979995727539,0,9
1,1.48,61.5900001525879,0,9
1,1.78,32.5940017700195,0,0
1,1.41,30.1639995574951,0,5
1,1.5,18.5219993591309,0,5
1,1.86,24.7749996185303,0,12
1,1.6,35.4360008239746,1,5
1,0.7,31.3409996032715,0,10
0,0.51,15.5710000991821,1,5
1,2.48,27.1730003356934,0,0
1,0.63,49.0340003967285,0,10
1,1.07,135.320007324219,1,0
0,0.71,37.7779998779297,0,7
1,1.12,3.77900004386902,1,8
0,0.53,49.1689987182617,0,0
0,0.58,50.7239990234375,1,0
1,1.31,26.2169990539551,0,12
1,1.49,20.9139995574951,0,12
1,0.86,3.31200003623962,0,5
1,0.64,35.7150001525879,0,10
1,1.44,52.2919998168945,0,0
0,1.52,60.1459999084473,0,5
1,1.27,44.4609985351563,0,0
0,2.17,70.0220031738281,1,0
0,1.73,95.8079986572266,0,5
1,1.93,121.763999938965,0,9
1,2.2,127.56600189209,0,5
1,1.6,120.15299987793,0,8
1,1.65,66.2149963378906,0,0
0,0.81,54.9729995727539,1,0
0,1.86,73.2149963378906,0,5
0,1.93,33.3660011291504,1,5
1,1.9,87.3140029907227,0,5
0,4.06,95.3089981079102,0,5
1,4.03,128.095001220703,1,3
1,1.56,109.777000427246,0,10
0,2.53,138.578994750977,0,0
0,3.41,162.264007568359,0,0
0,2.21,155.785995483398,0,0
0,2.92,105.651000976563,0,5
0,2.06,93.9619979858398,0,5
1,3.89,72.1019973754883,0,5
1,2.88,55.548999786377,0,0
0,1.39,49.6959991455078,0,0
1,2.07,45.5110015869141,0,10
0,1.46,50.5820007324219,0,0
1,1.51,81.2060012817383,0,5
0,3.23,95.7710037231445,0,5
1,4.21,76.5080032348633,0,5
1,2.49,56.6380004882813,0,5
1,0.78,38.9819984436035,1,0
1,2.32,30.8369998931885,0,0
1,1.43,60.7190017700195,0,7
1,1.71,29.6009998321533,0,0
1,1.99,77.1350021362305,0,5
1,2.48,95.099998474121,0,0
1,4.29,50.3930015563965,1,10
1,3.88,49.7210006713867,0,0
1,3.04,72.5299987792969,1,0
1,3.36,25.6770000457764,1,10
1,3.44,8.02400016784668,1,10
0,1.38,63.6790008544922,0,5
0,1.9,53.314998626709,0,10
1,2.79,45.9780006408691,0,0
1,3.73,69.6179962158203,0,10
1,2.04,72.2170028686523,0,0
1,2.09,55.5519981384277,0,0
1,2.63,81.3789978027344,1,0
1,3.3,81.1320037841797,1,0
1,3.25,51.7089996337891,0,6
1,1.53,55.7789993286133,0,5
1,2.6,26.9729995727539,0,5
1,2,28.2150001525879,0,0
1,2.82,71.9609985351563,1,0
1,2.56,75.5260009765625,0,0
0,3.62,45.0699996948242,0,0
1,5.25,80.6800003051758,0,0
1,1.59,96.9400024414063,0,0
1,2.21,115.327003479004,0,0
1,2.42,108.546997070313,0,3
1,2.36,86.936996459961,0,0
1,1.22,94.1419982910156,0,0
1,3.93,81.8960037231445,1,0
0,4.93,54.9599990844727,0,0
1,1.91,46.6100006103516,0,0
1,2.33,68.0739974975586,0,0
1,2.18,102.398002624512,0,0
1,4.77,107.369003295898,1,0
1,3.79,84.8840026855469,0,0
1,3.48,84.890998840332,0,0
0,3.02,58.6829986572266,0,0
1,2.71,68.3140029907227,1,7
1,2.34,38.7809982299805,0,0
1,3.15,81.7580032348633,1,0
1,2.56,102.953002929688,1,5
1,3.34,107.480003356934,0,12
1,2.32,120.09400177002,1,10
1,3.62,135,1,10
1,1.02,71.7730026245117,0,0
1,3.26,33.1969985961914,1,0
1,1.61,47.0120010375977,1,7
1,1.16,60.3619995117188,1,0
0,1.01,128.848999023438,1,0
0,0.67,144.070999145508,1,9
0,3.17,110.425003051758,0,5
0,2.44,113.009002685547,1,0
0,2.26,78.9759979248047,0,7
1,1.65,52.9300003051758,1,7
1,3.86,14.0050001144409,0,5
1,3.32,18.4769992828369,1,5
1,3.19,61.9570007324219,0,0
1,3.42,66.0640029907227,1,10
1,1.66,60.3120002746582,0,0
1,3.35,74.9209976196289,0,9
1,3.09,73.838996887207,0,0
1,3.59,61.1720008850098,0,0
1,3.88,10.8090000152588,1,0
1,2.94,65.9029998779297,1,10
1,0.95,34.5279998779297,1,5
1,2.6,63.9090003967285,0,9
1,3.24,74.8489990234375,0,9
1,3.32,81.5550003051758,0,0
1,3.26,66.436996459961,0,5
1,3.27,60.4589996337891,0,0
1,3.4,43.4850006103516,0,0
1,2.91,116.44100189209,0,5
1,1.48,84.8740005493164,0,10
1,4.35,62.2919998168945,0,0
1,1.87,70.1029968261719,0,5
1,3.01,60.5610008239746,0,5
0,3.05,45.2120018005371,0,0
1,2.62,49.6980018615723,0,10
1,3.26,32.4490013122559,0,12
1,1.92,47.0190010070801,1,0
1,3.44,62.6189994812012,0,5
1,2.57,30.1790008544922,0,8
1,2.97,47.6469993591309,1,9
0,2.95,52.0989990234375,1,9
1,2.28,95.0739974975586,0,5
1,3.17,80.7030029296875,0,14
1,3.69,80.427001953125,0,5
0,3.08,81.5830001831055,1,5
1,2.86,47.3390007019043,1,5
0,1.95,44.9500007629395,1,5
1,1.78,29.7140007019043,0,0
0,2.2,45.5540008544922,0,5
1,1.71,31.5550003051758,0,5
0,3.86,58.2239990234375,0,0
1,3.45,40.8349990844727,0,6
1,3.97,47.8460006713867,0,7
1,1.39,9.77299976348877,0,0
0,4.81,185.205001831055,0,0
1,2.08,82.625,0,4
0,2.49,112.705001831055,1,5
0,1.83,98.0289993286133,1,0
0,1.24,112.143997192383,1,0
0,1.38,133.436004638672,0,10
0,1.54,163.552001953125,0,0
0,0.53,18.1469993591309,0,0
0,0.9,27.2450008392334,1,5
0,2.04,15.8889999389648,1,3
1,0.61,5.21600008010864,0,5
0,0.55,11.2740001678467,0,6
0,0.52,9.22000026702881,0,5
0,0.77,23.6760005950928,1,0
0,0.67,23.6760005950928,1,0
0,0.67,35.5029983520508,1,5
0,0.64,31.1100006103516,0,0
0,0.57,24.4349994659424,0,0
1,0.76,24.4349994659424,1,0
1,0.75,24.4349994659424,1,0
1,0.9,24.4349994659424,1,5
0,0.62,24.4349994659424,1,12
1,2.26,23.5179996490479,1,2
1,1.23,30.1359996795654,1,3
0,1.21,28.386999130249,1,0
1,2.33,6.13600015640259,0,10
0,1.2,6.13600015640259,1,0
1,2.38,24.4349994659424,0,12
1,2.82,24.4349994659424,0,12
0,3.29,6.13600015640259,1,0
0,1.52,6.13600015640259,1,5
0,0.54,55.7830009460449,1,3
0,0.86,11.6079998016357,1,5
1,2.3,19.7129993438721,0,0
1,1.67,24.1749992370605,1,0
0,2.3,3.71499991416931,1,5
1,0.86,30.8309993743896,0,14
0,0.53,12.5640001296997,1,8
0,1.63,12.5640001296997,1,5
0,2.05,12.5640001296997,1,7
0,1.71,58.6510009765625,1,0
0,0.54,45.1430015563965,0,0
1,1.47,6.32800006866455,0,2
1,0.73,6.32800006866455,0,5
1,0.61,6.32800006866455,0,12
1,0.59,6.32800006866455,1,0
1,0.86,24.132999420166,0,5
0,3.53,94.3470001220703,1,5
0,3.68,76.4860000610352,0,5
0,0.93,57.2270011901855,0,6
0,0.58,45.6100006103516,0,12
1,1.22,43.3819999694824,0,2
0,1.24,6.3289999961853,0,16
0,0.59,23.0990009307861,1,0
0,1.67,16.3579998016357,0,0
0,1.16,25.7110004425049,1,10
0,1.1,47.4879989624023,1,0
0,0.72,3.40700006484985,0,3
0,1.01,5.35799980163574,1,0
0,1.08,62.5019989013672,1,2
0,1.03,27.8700008392334,1,0
1,0.58,48.234001159668,1,2
0,0.51,31.7819995880127,1,14
1,0.64,3.25200009346008,1,7
1,2.38,3.25200009346008,1,14
0,1.53,3.25200009346008,1,5
1,2.72,3.25200009346008,1,8
1,3.84,3.25200009346008,0,0
0,0.92,3.25200009346008,1,5
0,0.64,3.25200009346008,1,0
0,0.56,13.6669998168945,1,3
1,0.56,21.173999786377,1,0
0,3.55,12.7790002822876,0,0
0,0.55,50.3660011291504,1,0
1,0.58,29.4990005493164,1,0
0,0.57,34.3089981079102,0,0
0,0.53,4.875,1,0
1,0.64,15.7910003662109,0,0
0,0.56,16.1350002288818,1,0
0,0.71,7.17899990081787,1,0
0,0.75,20.2040004730225,0,0
0,0.69,21.2639999389648,0,5
0,0.82,32.7970008850098,1,4
0,0.93,27.951000213623,0,3
0,0.52,33.5779991149902,1,0
1,0.57,14.8050003051758,0,3
0,0.69,11.1949996948242,0,0
0,0.51,10.2040004730225,0,5
1,0.82,21.1499996185303,1,4
1,0.7,15.8280000686646,0,5
1,0.96,8.56700038909912,1,12
1,0.53,14.7709999084473,1,5
0,0.72,38.8400001525879,1,5
0,0.68,33.2080001831055,1,5
0,0.81,7.53200006484985,1,5
0,0.7,38.7280006408691,1,12
1,1.04,4.12200021743774,1,3
1,2.72,24.431999206543,1,6
1,1.24,24.3589992523193,1,4
1,0.6,8.19600009918213,0,3
1,0.71,3.90799999237061,1,2
0,2.66,9.00599956512451,0,5
1,1.5,22.2210006713867,1,2
1,1.83,18.3390007019043,1,2
1,0.51,14.1400003433228,1,5
0,0.95,19.3969993591309,1,12
0,0.61,25.007999420166,1,3
0,1.13,32.1269989013672,1,4
1,3.26,18.4160003662109,0,4
1,1.17,16.636999130249,1,4
1,0.68,22.9549999237061,1,3
1,0.52,15.2950000762939,1,4
1,0.66,23.3640003204346,0,5
0,0.51,47.0260009765625,0,5
0,1.21,36.1080017089844,0,4
0,0.59,86.9789962768555,0,4
1,0.99,38.9039993286133,0,0
1,0.66,19.3239994049072,1,9
0,0.51,1.64600002765656,1,12
1,1.15,18.5930004119873,1,0
0,0.68,20.0510005950928,1,5
0,0.53,11.8299999237061,1,12
0,0.63,33.3040008544922,1,5
1,2.05,8.02099990844727,1,5
0,0.73,19.8159999847412,0,0
0,0.91,21.2679996490479,1,4
0,0.82,17.492000579834,1,5
0,0.67,29.7140007019043,1,4
1,0.85,25.7859992980957,0,3
0,0.81,23.8950004577637,0,4
0,0.59,11.581000328064,1,5
0,0.65,26.8500003814697,1,9
0,0.53,13.5780000686646,1,14
0,0.58,25.7000007629395,1,10
0,0.56,12.0699996948242,1,10
0,0.95,7.69399976730347,0,8
